seed,horizon,complete,official_score,survival_time,horizon_reached,final_population,peak_population,minimum_population,mean_population,births,deaths,predator_related_deaths,fruit_score_contribution,mean_energy,median_energy,official_reward,training_reward,environment_ticks,decision_steps,episode_wall_time
89,300.0,1,292.76860865983076,299.9999999999997,1,15,51,2,18.674441852715763,282,272,,,51.09654127827332,50.64896147658724,292.76860865983076,297.76860865983076,3000,600,157.23400000000038
95,300.0,1,56.44340000000053,56.000000000000526,0,0,10,0,3.8253119429590017,6,11,,,38.93409232959078,37.54589092992873,56.44340000000053,51.44340000000053,560,112,14.545999999998457
70,300.0,1,317.6853877311324,299.9999999999997,1,14,43,2,12.661779406864378,189,180,,,48.91526431849178,46.70629243914948,317.6853877311324,322.6853877311324,3000,600,140.0
73,300.0,1,182.7957999999942,176.89999999999424,0,0,18,0,6.424293785310734,50,55,,,46.10738678432456,45.73920189234096,182.7957999999942,177.7957999999942,1769,354,81.35900000000038
105,300.0,1,318.8985301394709,299.9999999999997,1,21,48,1,17.523825391536153,220,204,,,48.865512573431836,48.69691582468362,318.8985301394709,323.8985301394709,3000,600,146.76499999999942
114,300.0,1,216.13610703496173,223.1999999999916,0,0,36,0,10.866099417823555,138,143,,,50.87679134129791,50.539803659022425,216.13610703496173,211.13610703496173,2232,447,108.53200000000288
128,300.0,1,311.43088691238853,299.9999999999997,1,6,47,2,9.016661112962346,131,130,,,46.26908221762466,43.38754386163183,311.43088691238853,316.43088691238853,3000,600,152.0470000000023
134,300.0,1,45.637800000000375,45.00000000000037,0,0,10,0,5.580931263858093,7,12,,,45.063141834529844,42.665375500942716,45.637800000000375,40.637800000000375,450,90,14.2970000000023
76,300.0,1,259.8687988947084,243.59999999999044,0,0,43,0,13.363972096840378,140,145,,,48.695448210649786,46.74485401022409,259.8687988947084,254.8687988947084,2436,488,130.26499999999942
101,300.0,1,313.470141416128,299.9999999999997,1,13,67,4,14.760079973342219,217,209,,,49.19242696160925,48.356564135962,313.470141416128,318.470141416128,3000,600,163.14099999999962
79,300.0,1,322.4520048314604,299.9999999999997,1,16,47,2,17.586137954015328,221,210,,,48.754474442447915,48.26032400088635,322.4520048314604,327.4520048314604,3000,600,163.5
111,300.0,1,259.50814111846205,248.0999999999902,0,0,55,0,16.930701047542303,215,220,,,47.82064365782449,46.24988752148485,259.50814111846205,254.50814111846205,2481,497,133.81299999999828
107,300.0,1,40.2772000000003,40.0000000000003,0,0,10,0,4.5735660847880295,5,10,,,38.445671831964596,37.56608255586845,40.2772000000003,35.2772000000003,400,80,26.264999999999418
82,300.0,1,185.89691659097755,179.2999999999941,0,0,23,0,7.099219620958752,59,64,,,46.069699546801395,43.541594120846,185.89691659097755,180.89691659097755,1793,359,89.5
