seed,horizon,complete,official_score,survival_time,horizon_reached,final_population,peak_population,minimum_population,mean_population,births,deaths,predator_related_deaths,fruit_score_contribution,mean_energy,median_energy,official_reward,training_reward,environment_ticks,decision_steps,episode_wall_time
101,300.0,1,313.10060000000306,299.9999999999997,1,12,21,1,9.36321226257914,112,105,,,45.73741143394084,44.13475811969438,313.10060000000306,318.10060000000306,3000,600,148.03200000000288
49,300.0,1,303.06991554128945,289.2999999999973,0,0,38,0,11.193158258465791,165,170,,,46.02179701680523,43.76939713735757,303.06991554128945,298.06991554128945,2893,579,141.63999999999942
107,300.0,1,27.668200000000127,27.600000000000122,0,0,10,0,5.458483754512636,5,10,,,38.29888006432113,34.29230739026734,27.668200000000127,22.668200000000127,276,56,9.46900000000096
93,300.0,1,311.8857825759621,299.9999999999997,1,3,34,1,11.153282239253581,118,120,,,47.31825248626515,47.447953107895515,311.8857825759621,316.8857825759621,3000,600,141.78099999999904
76,300.0,1,323.29822872726464,299.9999999999997,1,10,39,2,17.227590803065645,227,222,,,48.73866509922638,47.75974673913662,323.29822872726464,328.29822872726464,3000,600,141.90599999999904
99,300.0,1,27.92360000000013,27.600000000000122,0,0,10,0,7.501805054151625,5,10,,,43.147947107021224,42.52214057052065,27.92360000000013,22.92360000000013,276,56,13.625
113,300.0,1,79.74479999999974,78.89999999999979,0,0,9,0,3.670886075949367,9,14,,,47.41355824113209,46.005454405066665,79.74479999999974,74.74479999999974,789,158,36.875
72,300.0,1,157.84888626246536,155.39999999999546,0,0,18,0,7.223151125401929,43,48,,,50.2190215766148,49.470193743725815,157.84888626246536,152.84888626246536,1554,311,73.95400000000154
78,300.0,1,35.22200000000023,35.00000000000023,0,0,10,0,5.042735042735043,5,10,,,38.89664226169403,36.390043184264755,35.22200000000023,30.22200000000023,350,70,11.53099999999904
74,300.0,1,297.19949388572155,289.19999999999726,0,0,19,0,5.44141030072589,78,83,,,46.06832333098342,43.83971524028444,297.19949388572155,292.19949388572155,2892,579,145.0
119,300.0,1,39.8897072881109,39.700000000000294,0,0,10,0,4.748743718592965,6,11,,,39.71342971928401,36.11566557743866,39.8897072881109,34.8897072881109,397,80,19.14100000000326
80,300.0,1,51.568800000000465,50.90000000000045,0,0,10,0,5.1156862745098035,8,13,,,45.27274600017693,43.254481065989104,51.568800000000465,46.568800000000465,509,102,16.860000000000582
125,300.0,1,47.913000000000416,47.600000000000406,0,0,10,0,4.037735849056604,6,11,,,38.69466984823327,33.084206303182995,47.913000000000416,42.913000000000416,476,96,15.39100000000326
82,300.0,1,126.47599999999717,123.99999999999723,0,0,11,0,4.324738114423852,24,29,,,45.60061958691778,40.45297400347466,126.47599999999717,121.47599999999717,1240,248,57.68699999999808
88,300.0,1,45.45940000000038,45.10000000000037,0,0,10,0,4.484513274336283,5,10,,,43.41495629649919,40.44990335088018,45.45940000000038,40.45940000000038,451,91,10.0
86,300.0,1,76.18919999999996,75.69999999999997,0,0,10,0,3.2519788918205803,6,11,,,47.80481233857411,48.55194026885106,76.18919999999996,71.18919999999996,757,152,29.235000000000582
94,300.0,1,19.891800000000014,19.80000000000001,0,0,10,0,7.306532663316583,5,10,,,35.97500976279409,30.431545282071987,19.891800000000014,14.891800000000014,198,40,12.21900000000096
55,300.0,1,314.5003583718472,299.9999999999997,1,14,37,3,15.027990669776742,233,224,,,51.21063307649266,50.1548462933765,314.5003583718472,319.5003583718472,3000,600,136.81200000000172
